Annotation Cluster 1	Enrichment Score: 68.76479813108197
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-9615933~Postmitotic nuclear pore complex (NPC) reformation	27	0.9854014598540146	2.0093265951660822E-18	Q9BTX1, P57740, Q12769, Q96EE3, P63165, Q92973, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q8NFH5, Q96HA1, P46060, Q14974, P62826, Q8N1F7, O75694, P55735, P18754, P37198, P63279, P52948, Q8WYP5, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2	2077	27	11153	5.3697640828117486	3.8780003286705385E-15	2.58667310351047E-17	1.8244685484108027E-17
REACTOME_PATHWAY	R-HSA-4085377~SUMOylation of SUMOylation proteins	31	1.1313868613138687	2.1563043281882765E-18	Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, Q99567, P63165, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P55735, P37198, P63279, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, P61956, O15504, Q9UKX7	2077	34	11153	4.8959613696224755	4.161667353403373E-15	2.7574991110805048E-17	1.9449579437035978E-17
REACTOME_PATHWAY	R-HSA-72187~mRNA 3'-end processing	42	1.532846715328467	1.4163658663619006E-17	P52298, Q16629, Q86U42, Q9BY77, Q86V81, Q13838, O95391, O60508, Q9UKF6, Q9Y5S9, Q01130, O00148, P33240, Q8IYB3, Q92797, P84103, Q16630, O15234, Q8N684, Q96A72, Q6UN15, Q13243, Q10570, Q15287, Q13242, Q13247, P38919, P82979, Q01081, Q09161, Q12996, Q08170, Q96QD9, O75152, O43809, Q9P2I0, Q05519, Q07955, Q9C0J8, Q92620, P26368, Q9Y3Y2	2077	59	11153	3.8225439233575154	2.733586122078468E-14	1.775975641522617E-16	1.252656045444746E-16
REACTOME_PATHWAY	R-HSA-3232142~SUMOylation of ubiquitinylation proteins	32	1.167883211678832	5.867743714530975E-17	Q9BTX1, P57740, Q12769, P29590, P35658, P78406, Q96EE3, Q99567, P63165, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P55735, P37198, P14373, P63279, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, O15504, Q9UKX7	2077	38	11153	4.5219065960519975	2.142730437526552E-13	7.216951027235231E-16	5.090361107765088E-16
REACTOME_PATHWAY	R-HSA-5619107~Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	28	1.0218978102189782	2.3425359723728605E-16	Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, Q99567, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P55735, P37198, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, O15504, Q9UKX7	2077	31	11153	4.850109494152546	4.285460875053104E-13	2.7414769470618145E-15	1.933656966285961E-15
REACTOME_PATHWAY	R-HSA-170822~Regulation of Glucokinase by Glucokinase Regulatory Protein	28	1.0218978102189782	2.3425359723728605E-16	Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, Q99567, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P55735, P37198, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, O15504, Q9UKX7	2077	31	11153	4.850109494152546	4.285460875053104E-13	2.7414769470618145E-15	1.933656966285961E-15
REACTOME_PATHWAY	R-HSA-3301854~Nuclear Pore Complex (NPC) Disassembly	30	1.094890510948905	2.7292824243572465E-16	Q9BTX1, P57740, Q12769, P14635, P35658, P78406, Q96EE3, Q99567, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P55735, P37198, P52948, P12270, Q7Z3B4, Q92621, P06493, Q5SRE5, Q9BVL2, O15504, Q9UKX7	2077	35	11153	4.602654928124355	4.285460875053104E-13	3.155834946966373E-15	2.225917761661419E-15
REACTOME_PATHWAY	R-HSA-1169408~ISG15 antiviral mechanism	46	1.6788321167883213	5.111866145358887E-16	O00505, P19174, P52294, P78344, O00629, O75369, Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, P19525, Q04637, P42224, Q99567, P61088, Q8NFH3, Q9BW27, Q8NFH4, P62979, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P38919, Q14974, Q14258, P49790, Q13526, Q8N1F7, O75694, P55735, P37198, P52948, P12270, P62987, Q7Z3B4, Q92621, P52292, Q5SRE5, Q9BVL2, O15504, Q9UKX7, P60842	2077	73	11153	3.383686956292334	1.071365218763276E-12	5.672996279705754E-15	4.001357293091267E-15
REACTOME_PATHWAY	R-HSA-70171~Glycolysis	46	1.6788321167883213	5.111866145358887E-16	P06733, P14618, Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, A6NDG6, Q99567, P60174, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P06744, P49792, P49790, P04406, P30153, Q8N1F7, O75694, P30154, P19367, P52789, P55735, P37198, P67775, P18669, P17858, P52948, P00558, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, P04075, O15504, P08237, Q01813, Q9UKX7, P09104	2077	73	11153	3.383686956292334	1.071365218763276E-12	5.672996279705754E-15	4.001357293091267E-15
REACTOME_PATHWAY	R-HSA-6784531~tRNA processing in the nucleus	38	1.3868613138686132	1.7626861943773484E-14	Q9Y224, Q9BTX1, P57740, Q12769, P35658, Q9Y3I0, P78406, Q9BQ52, Q96EE3, Q99567, P33240, Q8NFH3, Q9BW27, Q8NFH4, Q92499, Q8WUM0, Q9NRG9, Q8NFH5, Q10570, Q96HA1, P49792, P49790, P62826, Q8N1F7, O75694, P55735, P37198, Q99575, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, O15504, Q9UKX7, O75817, Q52LJ0	2077	57	11153	3.579842721874499	3.406941395667218E-11	1.7727849173659687E-13	1.2504055191364315E-13
REACTOME_PATHWAY	R-HSA-70326~Glucose metabolism	46	1.6788321167883213	5.884892007531861E-13	P06733, P14618, Q9BTX1, P57740, Q12769, P35658, P78406, Q96EE3, A6NDG6, Q99567, P60174, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P06744, P49792, P49790, P04406, P30153, Q8N1F7, O75694, P30154, P19367, P52789, P55735, P37198, P67775, P18669, P17858, P52948, P00558, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, P04075, O15504, P08237, Q01813, Q9UKX7, P09104	2077	84	11153	2.9405850929683384	1.1358614049328253E-9	5.141957677169241E-12	3.626797698759455E-12
GOTERM_MF_DIRECT	GO:0017056~structural constituent of nuclear pore	21	0.7664233576642335	8.471863710739656E-13	P49790, A8CG34, Q9BTX1, P57740, Q12769, Q8N1F7, O75694, P35658, P37198, Q99567, P61970, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, Q9BW27, Q8WUM0, Q8NFH5, Q96HA1	2703	26	19208	5.739605566464612	1.6562978766287983E-9	5.342739856289041E-11	4.9820024337672235E-11
REACTOME_PATHWAY	R-HSA-5619115~Disorders of transmembrane transporters	67	2.4452554744525545	5.281150117950127E-11	P51665, P35658, P11166, P35613, Q99567, P62195, Q9BW27, P55072, Q13200, Q9NRG9, O94905, Q8WUM0, Q96HA1, O43242, O00231, O75694, O00232, Q99436, P37198, P12270, Q9BVL2, P49721, P60900, Q9BUN8, P28066, Q9BTX1, P57740, Q12769, P78406, P35998, O00487, Q96EE3, P62333, P20618, P25789, Q8NFH3, Q8NFH4, P25788, P62979, P25787, Q8NFH5, P25786, Q15008, P49792, P49790, P62191, Q9UNM6, O75477, Q8N1F7, P28072, P17980, Q99460, P19367, P28070, P55735, O14818, P52948, P08195, P62987, Q7Z3B4, Q92621, Q5SRE5, O15504, Q16186, P43686, Q9UKX7, Q6P1M0	2077	163	11153	2.2072036414011476	1.0192625332638983E-7	3.848264482174225E-10	2.7143118719426694E-10
REACTOME_PATHWAY	R-HSA-913531~Interferon Signaling	94	3.43065693430657	2.3983031926285083E-10	Q13555, O00505, P0DMV9, P67809, P78344, P19174, P28482, P55265, O00629, Q13557, P35658, Q12905, Q12906, Q04637, P19525, P42224, Q99567, P0DPH8, P61221, P17706, P63165, Q9BVA1, Q9BW27, Q9NRG9, Q8WUM0, Q96HA1, P38919, Q14974, Q14258, Q6L8Q7, P06748, Q13526, P30153, O75694, P30154, P41091, Q9NX74, P37198, Q9BUF5, P67775, P11142, P12270, P52292, Q9BVL2, P20042, P16070, Q8N2Z9, P02795, P21333, Q15633, Q3ZCM7, O75569, P52294, O75369, P68363, Q9BTX1, P57740, Q06124, Q12769, P29590, P78406, Q96EE3, P61088, Q8NFH3, Q8NFH4, P05198, P62979, P61769, Q8NFH5, Q9BQE3, P49792, P49790, Q12899, A8MT69, P18031, Q13509, Q8N1F7, P68371, Q08211, P55735, P63279, P52948, P68366, P62987, Q7Z3B4, Q92621, P06493, Q5SRE5, Q71U36, O15504, P23497, Q9UKX7, P60842	2077	269	11153	1.8764231367446256	4.6287230781594246E-7	1.6306772763963555E-9	1.1501721649155029E-9
GOTERM_BP_DIRECT	GO:0006606~protein import into nucleus	41	1.4963503649635037	9.349040845286454E-10	O00505, A8CG34, Q96QC0, P55265, P52294, O00629, P57740, P29590, Q15717, P35658, Q96P70, O95373, Q99623, Q99567, O60684, Q92973, Q9BW27, P02545, Q8WUM0, Q96HA1, Q13501, Q14974, P49790, Q8N6T7, P06748, P62826, Q8N1F7, O75694, O00410, Q96G21, Q8TEX9, P55735, P37198, P11142, P61970, Q14181, P52948, P12270, P52292, Q5SRE5, P55060, Q9UKX7	2654	108	19416	2.777275391442686	5.310240867695271E-6	1.1298415319410013E-7	1.0823006646639063E-7
REACTOME_PATHWAY	R-HSA-72306~tRNA processing	46	1.6788321167883213	1.535310758167632E-8	Q9NXH9, Q7L0Y3, Q9Y224, Q9BTX1, P57740, Q12769, P35658, Q9Y3I0, P78406, Q9BQ52, Q96EE3, Q99567, P33240, Q9Y3C4, Q8NFH3, Q9BW27, Q8NFH4, Q92499, Q8WUM0, Q9NRG9, Q8NFH5, Q10570, Q96HA1, P49792, P49790, P62826, P07814, Q08J23, Q8N1F7, O75694, P55735, Q9NX74, P37198, Q99575, P52948, P12270, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, Q9UI30, O15504, Q9UKX7, O75817, Q99714, Q52LJ0	2077	107	11153	2.3084967084985086	2.9631058815704492E-5	8.902958180245339E-8	6.279559317190135E-8
REACTOME_PATHWAY	R-HSA-9833482~PKR-mediated signaling	36	1.313868613138686	2.5342768753782653E-8	Q15633, P0DMV9, Q3ZCM7, O75569, P55265, P68363, Q12905, Q12906, P19525, P42224, P0DPH8, P17706, Q9BVA1, P63165, P05198, Q9BQE3, Q14258, P06748, A8MT69, Q13509, P30153, P30154, P41091, P68371, Q08211, Q9NX74, Q9BUF5, P67775, P11142, P63279, P68366, P06493, Q71U36, P20042, Q8N2Z9	2077	75	11153	2.577486759749639	4.891034820042606E-5	1.435099309781651E-7	1.0122243707522573E-7
REACTOME_PATHWAY	R-HSA-9705671~SARS-CoV-2 activates/modulates innate and adaptive immune responses	47	1.715328467153285	1.5122381376121048E-6	Q15436, P07900, Q9BTX1, P57740, Q06124, Q12769, Q3LXA3, P35658, P78406, Q96EE3, P42224, Q99567, P61088, Q8NFH3, O94826, Q13283, Q9BW27, Q8NFH4, P62979, Q9UN86, P61769, Q8WUM0, P62633, Q9NRG9, Q8NFH5, Q6PKG0, Q96HA1, P49792, Q14258, P53992, P49790, Q13404, Q8N1F7, O75694, P55735, P37198, P52948, P12270, P62987, Q7Z3B4, Q92621, P52292, Q5SRE5, Q9BVL2, O15504, P08238, Q9UKX7	2077	126	11153	2.003007237239303	0.0029143667763764647	7.644324198243389E-6	5.391801946145777E-6
REACTOME_PATHWAY	R-HSA-71387~Metabolism of carbohydrates	80	2.9197080291970803	1.8949012165851562E-4	P06733, P06737, P37837, Q3LXA3, P35658, P11166, Q9Y625, Q96AT9, Q7L1S5, Q00796, A6NDG6, Q99567, P36871, P60891, P60174, Q9BW27, Q14376, Q9NRG9, Q8WUM0, Q96HA1, P06744, P04406, P52209, P30153, O75694, P11216, P30154, P11413, O75330, P35052, P37198, P15586, P16278, P67775, Q7Z4W1, P12270, Q9BVL2, P16070, P09104, O95336, O43252, P14618, Q9BTX1, P57740, Q12769, P78406, P10253, Q96EE3, Q8NFH3, Q8NFH4, Q16851, P62979, Q8NFH5, P49792, P29401, P49790, P51570, P0DP25, Q96G03, Q8N1F7, P19367, P52789, O95340, P55735, P18669, P14550, P15121, P17858, Q99653, P52948, P00558, P62987, Q7Z3B4, Q92621, Q5SRE5, P04075, O15504, P08237, Q01813, Q9UKX7	2077	291	11153	1.476223802834845	0.30632420996161847	7.937210952767759E-4	5.598384939238574E-4
REACTOME_PATHWAY	R-HSA-5619102~SLC transporter disorders	33	1.2043795620437956	6.011366324884467E-4	Q9BTX1, P57740, Q12769, P35658, P11166, P78406, P35613, Q96EE3, Q99567, Q8NFH3, Q9BW27, Q8NFH4, Q8WUM0, Q9NRG9, Q8NFH5, Q96HA1, P49792, P49790, Q8N1F7, O75694, P19367, P55735, P37198, P52948, P12270, P08195, Q7Z3B4, Q92621, Q5SRE5, Q9BVL2, O15504, Q9UKX7, Q6P1M0	2077	98	11153	1.8081858646202826	0.6866838574157201	0.002335603294437003	0.0016473804697168296

Annotation Cluster 11	Enrichment Score: 18.4902225411945
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	183	6.67883211678832	3.5501999980986185E-45	O75947, Q14203, O75306, Q16629, O43676, O43674, Q86V81, O96008, O43678, P35658, Q8NE86, O96000, P13073, P0DPH8, P62195, O14949, P07196, Q07866, Q9BVA1, Q9BW27, P22695, P09651, Q14573, Q8WUM0, O14548, Q96HA1, P20674, P51991, O95168, O95169, P55036, P48047, P28331, Q9UI09, O14561, P07919, P55957, O00399, O75251, O75380, P22626, Q9BUF5, P12270, P08574, P47985, P60900, Q9BUN8, A8CG34, P35637, Q3ZCM7, O75489, P68363, P57740, O95292, P33176, P35998, O95299, P61163, Q8TED1, Q8IVF4, P25705, P18859, P31040, P25789, Q8NFH3, P25788, Q9H0B6, Q8NFH4, Q9UBU9, P56381, P35080, P25787, Q8NFH5, P25786, Q9BQE3, P00441, O00217, Q13148, P07737, P99999, Q9UNM6, O95182, Q8N1F7, Q99460, P68371, P55735, Q9NRR5, P21912, P68366, Q7Z3B4, Q5SRE5, P43243, Q9UKX7, P62820, P30049, P31930, P56556, Q92934, Q8WWM7, Q53GS7, P36542, P51665, Q9P0J0, P19404, P42025, Q99567, Q9UJW0, P63000, P04040, P84103, Q16795, P55072, Q13200, Q13561, P07437, P10606, O43242, P60709, Q09161, P14927, O00231, P14406, O00233, O43920, O75694, O00232, Q16718, Q99436, P37198, P12074, P11021, Q07812, Q9BVL2, P49721, P46734, P09669, P28066, O95139, Q9BTX1, O00483, P14854, Q9UQN3, Q12769, P78406, O00487, P17568, P50995, Q96EE3, Q99700, P62333, P63261, Q9Y6M9, P24539, P20618, P00403, P05198, P56181, O43181, P49792, Q15008, Q13501, O75438, P49790, P51970, P20073, Q13509, P62191, P28072, P15954, P17980, P28070, O14818, Q9NX14, P52948, Q92621, P49821, Q71U36, Q9UMX0, Q16186, P43686, P21796, P06576	1583	371	8865	2.762326470773532	1.2212687993459247E-42	6.1063439967296235E-43	4.810520997423628E-43
KEGG_PATHWAY	hsa05012:Parkinson disease	136	4.963503649635037	2.055458388885331E-34	O75947, O75306, O43676, P30405, O43674, P19174, O43678, P10599, Q8NE86, O96000, P13073, P0DPH8, P62195, O14949, Q07866, Q9BVA1, P22695, Q14573, O14548, P20674, O95168, O95169, P55036, P48047, P28331, Q9Y277, Q9UI09, O14561, P07919, O75251, O75380, Q9BUF5, P08574, P47985, P60900, Q3ZCM7, O75489, P68363, P12236, P33176, P35998, O95299, P16435, P25705, P18859, P31040, P25789, P25788, Q9H0B6, P56381, P22314, P25787, P25786, Q9BQE3, P00441, O00217, P99999, Q9UNM6, O95182, Q99460, P68371, P21912, P68366, P30049, Q13555, P31930, P56556, Q13557, P63092, P36542, P51665, Q9P0J0, P19404, Q16795, Q13200, P07437, P10606, O43242, P14927, O00231, P14406, O00233, O43920, O00232, Q16718, Q99436, P12074, P11021, P63096, Q07812, P05141, P49721, P09669, P28066, P04899, O95139, P45880, O00483, P14854, O00487, P17568, P62333, Q9Y6M9, P24539, P20618, P68036, P00403, P62979, P05198, P56181, O43181, Q15008, O75438, P51970, P60604, O43464, P0DP25, Q12931, Q13509, O95140, P62191, P28072, P15954, P17980, P28070, O14818, Q9NX14, Q99497, P62987, P49821, Q71U36, P08754, Q16186, P43686, P21796, P06576	1583	271	8865	2.8103955076190053	7.070776857765539E-32	2.3569256192551798E-32	1.856764077959749E-32
KEGG_PATHWAY	hsa05016:Huntington disease	144	5.255474452554744	1.3752364973319241E-31	O75947, Q14203, O75306, O43676, P30405, O43674, O43678, P52434, P52435, O96000, P13073, P0DPH8, P16220, P62195, O14949, Q07866, Q9BVA1, P08047, P22695, P09496, P09497, P62875, O14548, O15514, P20674, O95168, P30876, O95169, P55036, P48047, P28331, Q9Y277, Q9UI09, O14561, P07919, O00399, O75251, O75380, P24928, Q9BUF5, P62487, P08574, P47985, Q96CW1, P60900, Q3ZCM7, O75489, P68363, P12236, P33176, P35998, O95299, P16435, P61163, Q8TED1, Q8IVF4, P25705, P18859, P31040, P25789, P25788, Q9H0B6, P21980, P56381, P25787, P25786, Q9BQE3, P00441, O00217, P99999, Q9UNM6, O95182, Q99460, P68371, P36954, P21912, Q01970, P68366, P30049, P31930, P56556, P36542, P51665, Q9P0J0, P19404, P42025, Q9UJW0, Q16795, Q13200, Q13561, P07437, P10606, O43242, Q92769, P14927, O00231, P14406, P19387, O00233, O43920, P19388, O00232, Q16718, Q99436, P12074, P63010, Q07812, P05141, P49721, P09669, P28066, O95139, P45880, O00483, P14854, O00487, P17568, Q00059, P62333, Q9Y6M9, P24539, P20618, Q00610, P00403, P56181, O43181, Q15008, O75438, P51970, Q13509, P62191, P28072, P15954, P17980, P28070, O95782, O14818, Q9NX14, P49821, Q71U36, Q16186, P43686, P21796, P06576	1583	311	8865	2.5929845443853807	4.730813550821819E-29	1.1827033877054547E-29	9.317227269423786E-30
KEGG_PATHWAY	hsa05020:Prion disease	131	4.781021897810219	1.1571027953095426E-29	O75947, O75306, O43676, P30405, O43674, O43678, Q8NE86, O96000, P13073, P0DPH8, P16220, P62195, O14949, Q07866, Q9BVA1, P22695, Q14573, O14548, P20674, O95168, O95169, P55036, P48047, P28331, Q9Y277, Q9UI09, O14561, P07919, O75251, O75380, Q9BUF5, P08574, P47985, P60900, Q3ZCM7, O75489, P68363, P12236, P33176, Q03135, P35998, O95299, P16435, P25705, P18859, P31040, P25789, P25788, Q9H0B6, P56381, P25787, P25786, Q9BQE3, P00441, O00217, P31948, P99999, Q9UNM6, O95182, Q99460, P68371, P21912, P68400, P68366, P30049, P31930, P56556, Q92934, P0DMV9, P28482, P36542, P51665, Q9P0J0, P19404, P63000, Q16795, Q13200, P07437, P10606, O43242, P14927, O00231, P14406, O00233, O43920, O00232, P19784, Q16718, Q99436, P12074, P11021, P11142, Q07812, P05141, P49721, P09669, P28066, O95139, P45880, O00483, P14854, O00487, P17568, P62333, Q9Y6M9, P24539, P20618, P00403, P05198, P56181, O43181, Q15008, O75438, P51970, Q13509, P62191, P28072, P15954, P17980, P28070, O14818, Q9NX14, P17066, P67870, P49821, Q71U36, Q16186, P43686, P21796, P06576	1583	278	8865	2.638908456305076	3.980433615864826E-27	6.634056026441378E-28	5.226247625481434E-28
GOTERM_BP_DIRECT	GO:0042776~proton motive force-driven mitochondrial ATP synthesis	46	1.6788321167883213	1.431846532637369E-24	P30049, O75947, P56556, O75306, O75964, O43676, P56134, O43674, O95139, O75489, O43678, P36542, O95299, Q9P0J0, P17568, O96000, P19404, Q9Y6M9, P25705, P24539, P18859, P31040, P56385, Q16795, P56381, P56181, O43181, O00217, O75438, O95168, P51970, O95169, P48047, P28331, Q9UI09, O14561, O95182, O43920, Q16718, O75251, O75380, P21912, Q9NX14, Q9UJZ1, P49821, P06576	2654	65	19416	5.177299866674395	8.132888305380256E-21	6.256067927215581E-22	5.99282844929225E-22
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	174	6.350364963503649	1.3818680039647298E-22	O75947, Q14203, O75306, P36507, O43676, P30405, O43674, P19174, O96008, O43678, P16615, Q8NE86, O96000, P13073, P0DPH8, P62195, O14949, P07196, Q07866, Q9BVA1, P22695, P01116, Q14573, O14548, P01111, P20674, O95168, O95169, P55036, P48047, P28331, Q9Y277, Q9UI09, O14561, P07919, P55957, O00399, O75251, O75380, Q9BUF5, P08574, P47985, P60900, Q9BUN8, P35637, Q3ZCM7, O75489, P68363, P12236, O95292, P33176, P35998, O95299, P16435, P61163, Q8TED1, Q8IVF4, P25705, P18859, P17252, P31040, P25789, P25788, Q9H0B6, P56381, P22314, P25787, P25786, Q9BQE3, P00441, O00217, Q13148, P99999, Q9UNM6, O95182, Q99460, P35222, P68371, P17655, P21912, P68400, Q01970, Q04206, P68366, P62820, P30049, Q13555, P31930, P56556, Q92934, Q13158, P28482, Q8WWM7, Q13557, P36542, P51665, Q9P0J0, P19404, P42025, Q9UJW0, P63000, P04040, Q16795, P55072, Q13200, Q13561, P07437, P10606, O43242, P14927, O00231, P14406, O00233, O43920, O00232, P19784, Q16718, Q08752, Q99436, P12074, P11021, Q07812, P05141, P49721, Q99714, P46734, P09669, P28066, O95139, P45880, O00483, P14854, Q9UQN3, O00487, P17568, Q99700, P62333, Q9Y6M9, P24539, P20618, P68036, P00403, P62979, P05198, P56181, O43181, Q15008, Q13501, O75438, P51970, P60604, O43464, P0DP25, Q12931, Q13509, O95140, P62191, P28072, P15954, P17980, Q02750, P28070, O14818, Q9NX14, P67870, Q99497, P62987, P07384, P49821, Q71U36, Q16186, P43686, P21796, P06576	1583	483	8865	2.017436818996873	4.7536259336386706E-20	5.942032417048338E-21	4.681077863430522E-21
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	76	2.7737226277372264	1.6186730500139613E-22	P30049, P31930, O75947, P56556, O75306, O75348, O43676, O43674, P36543, O43678, P38606, P36542, Q9P0J0, O96000, P19404, P13073, O14949, Q15181, P22695, Q16795, P61421, O14548, P20674, P10606, O95168, O95169, P48047, P14927, P28331, Q9UI09, O14561, P14406, O43920, Q15904, P07919, Q16718, O75251, O75380, P12074, Q93050, Q14061, P08574, P47985, Q9UI12, P09669, O75964, P56134, O95139, O75489, O00483, P14854, O95299, P17568, Q9Y5K8, Q9Y6M9, P25705, P24539, P18859, P31040, P56385, P00403, P56381, P56181, O43181, O00217, O75438, P51970, P21283, P21281, P99999, O95182, P15954, P21912, Q9NX14, P49821, P06576	1583	138	8865	3.084127550880277	5.568235292048027E-20	6.186928102275585E-21	4.87400440615315E-21
REACTOME_PATHWAY	R-HSA-1428517~Aerobic respiration and respiratory electron transport	116	4.233576642335766	4.946816048395715E-22	O75947, O75306, P08559, Q9H845, O43676, O43674, P10515, Q04760, O43678, O43837, O96000, P38646, Q02218, O75390, P13073, O14949, P07195, Q9UJS0, P22695, P24752, O14548, P20674, O95168, O95169, O95202, P48047, P28331, Q9UI09, O14561, P07919, P11177, P38117, O75251, O75380, Q14061, P08574, P47985, P56134, O75489, O95299, O75880, Q96I99, P25705, P18859, P31040, P56385, P23368, Q9Y2R0, Q16775, P56381, O00217, Q9H936, Q13423, P36957, Q9Y697, O00330, P99999, O95182, P21912, O43708, Q9BSH4, Q6P587, P30049, P31930, P56556, O75746, P40926, Q9BVV7, P40925, P36542, P50213, Q9P0J0, P19404, P00505, Q16795, P07954, P10606, P14927, P14406, O43920, Q16718, P12074, Q99798, P00338, Q9Y241, P09622, P09669, P13804, O75964, P14618, O95139, Q9P032, P82909, O00483, P14854, P17568, Q9Y6M9, P24539, Q5RI15, Q9H061, P17174, P00403, P62979, P56181, O43181, O75438, P51970, P53597, Q12931, P15954, Q96HS1, Q9NX14, P62987, P49821, P21796, P06576	2077	260	11153	2.3957408984852413	9.54735497340373E-19	9.011605461747289E-21	6.356191941429211E-21
GOTERM_BP_DIRECT	GO:0009060~aerobic respiration	42	1.532846715328467	8.027977548872896E-19	P30049, P30566, P31930, P56556, O75306, O43676, P40926, O43674, O95139, O75489, O43678, O95299, Q9P0J0, P17568, O96000, P19404, Q9Y6M9, P04040, P22695, Q16795, P56181, O43181, O00217, O75438, O95168, P51970, O95169, P14927, P28331, Q9H019, Q9UI09, O14561, O95140, O95182, O43920, P07919, Q16718, O75251, O75380, P21912, Q9NX14, P49821	2654	69	19416	4.453065102716162	4.559891247759805E-15	2.6822889692704734E-16	2.56942504961279E-16
KEGG_PATHWAY	hsa05010:Alzheimer disease	139	5.072992700729928	1.5151137864234073E-17	O75947, O75306, P36507, O43676, P30405, O43674, O43678, P16615, Q8NE86, O96000, P13073, P0DPH8, P62195, O14949, Q07866, Q9BVA1, P22695, P01116, Q14573, O14548, P01111, P20674, O95168, O95169, P55036, P48047, P28331, Q9Y277, P04406, Q9UI09, O14561, P07919, P55957, O75251, O75380, Q9BUF5, P08574, P47985, P60900, Q3ZCM7, O75489, P68363, P12236, P33176, P35998, O95299, P16435, P25705, P18859, P31040, P25789, P25788, Q9H0B6, P56381, P25787, P25786, Q9BQE3, O00217, P99999, Q9UNM6, O95182, Q99460, P35222, P68371, P17655, P21912, P68400, Q01970, Q04206, P68366, P30049, P31930, P56556, Q92934, Q13158, P28482, P36542, P51665, Q9P0J0, P19404, P19525, Q16795, Q13200, P07437, P10606, O43242, Q13564, P14927, O00231, P14406, O00233, O43920, O00232, P19784, Q16718, Q08752, Q99436, P12074, P05141, P49721, Q99714, P09669, P28066, O95139, P45880, O00483, P14854, O00487, P17568, P62333, Q9Y6M9, P24539, P20618, P00403, Q9NQC3, P05198, P56181, O43181, Q15008, O75438, P51970, P0DP25, Q13509, P62191, P28072, P15954, P17980, Q02750, P28070, O14818, Q9NX14, P67870, P07384, P49821, Q71U36, Q16186, P43686, P21796, P06576	1583	391	8865	1.9908377534320056	5.211991425296521E-15	5.211991425296521E-16	4.105958361207434E-16
GOTERM_BP_DIRECT	GO:1902600~proton transmembrane transport	70	2.5547445255474455	2.0546786571824966E-17	P30049, P31930, O75947, O75746, P56556, O75306, O43676, O43674, Q9H3K2, P36543, O43678, P38606, P36542, O96000, P19404, P13073, Q9UJS0, Q16795, P61421, O14548, P20674, P10606, O95168, O95169, O95202, P48047, P28331, Q9UI09, O43920, Q15904, P07919, Q16718, O75380, Q93050, P08574, P05141, P47985, P05023, Q9UI12, P05026, O75964, P56134, O95139, O75489, O00483, P14854, O95299, P17568, Q9Y5K8, Q9Y6M9, P25705, P24539, P18859, P56385, P00403, P56381, P56181, O43181, O00217, Q9H936, Q13423, O75438, P51970, P21283, P21281, O95182, Q00325, P49821, P06576	2654	176	19416	2.9096732205247653	1.167057477279658E-13	5.8352873863982905E-15	5.589753286864982E-15
